desi,name,ra,dec,z,zmag,zmagerr
DESI ,J085032.46+374133.4   ,132.63522,37.69261,4.86,20.99,0.02
DESI ,J085116.20+300936.6   ,132.81749,30.16019,5.93,21.18,0.04
DESI ,J085548.47+073638.3   ,133.95195,7.61066,6.23,20.92,0.03
DESI ,J085606.60-063521.9   ,134.0275,-6.58943,5.04,20.3,0.02
DESI ,J085657.43+065047.6   ,134.23927,6.84656,4.94,21.34,0.08
DESI ,J085822.00+055254.6   ,134.59167,5.88183,4.83,21.15,0.04
DESI ,J085906.70+051315.7   ,134.77792,5.22104,5.75,21.41,0.03
DESI ,J090028.93+525650.2   ,135.12056,52.9473,4.93,20.95,0.03
DESI ,J090032.99-065219.5   ,135.13748,-6.87209,5.02,21.39,0.04
DESI ,J090156.93-031856.9   ,135.48718,-3.31582,4.97,21.33,0.03
DESI ,J090744.63+113832.8   ,136.93596,11.64244,6.04,20.72,0.03
DESI ,J090951.16-033154.9   ,137.46315,-3.53192,4.89,20.98,0.02
DESI ,J091336.04+092205.8   ,138.40018,9.36829,4.9,20.96,0.03
DESI ,J091457.06+102826.9   ,138.73775,10.47415,6.07,21.23,0.02
DESI ,J091542.02+011827.1   ,138.92508,1.30753,5.22,20.65,0.02
DESI ,J091647.63+014059.2   ,139.19846,1.68312,5.07,21.02,0.04
DESI ,J091945.99+013022.2   ,139.9416,1.50619,5.1,21.39,0.06
DESI ,J092148.63+543700.3   ,140.45264,54.61676,4.97,21.15,0.04
DESI ,J092229.29+111138.6   ,140.62202,11.19406,4.9,20.31,0.01
DESI ,J092612.55+565415.9   ,141.55231,56.90442,4.82,20.92,0.02
DESI ,J092847.04-022656.9   ,142.196,-2.44914,5.25,19.76,0.01
DESI ,J093526.15+030411.2   ,143.85896,3.06979,5.1,21.07,0.02
DESI ,J093615.66+031405.1   ,144.06525,3.23476,5.12,21.02,0.02
DESI ,J093720.44+004026.5   ,144.33514,0.67403,5.04,20.46,0.01
DESI ,J093740.03-064727.5   ,144.41678,-6.79099,5.04,21.07,0.03
DESI ,J093743.92+531404.5   ,144.43301,53.23461,4.8,21.36,0.04
DESI ,J093842.53-060226.1   ,144.67722,-6.04059,4.87,21.18,0.03
DESI ,J093845.74-032326.9   ,144.69058,-3.39083,5.01,20.5,0.02
DESI ,J094031.64+031752.0   ,145.13184,3.29779,4.93,20.86,0.02
DESI ,J094252.05-055656.7   ,145.71687,-5.94911,4.92,21.29,0.03
DESI ,J094649.45+431952.4   ,146.70602,43.33124,5.13,21.16,0.04
DESI ,J095157.38+070924.2   ,147.98907,7.15673,5.02,20.51,0.02
DESI ,J095206.98+433124.9   ,148.02908,43.52359,5.15,20.04,0.01
DESI ,J095258.06+161713.4   ,148.24191,16.28708,5.0,21.27,0.04
